2019-12-25 09:22:04 INFO  org.hibernate.tool.schema.internal.SchemaCreatorImpl     - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@5d1659ea'
2019-12-25 09:22:04 INFO  org.simplebank.repository.impl.HibernateH2SessionFactory     - Populating Test User Table and data ..... 
2019-12-25 09:22:04 INFO  org.eclipse.jetty.util.log     - Logging initialized @1068ms
2019-12-25 09:22:04 INFO  spark.embeddedserver.jetty.EmbeddedJettyServer     - == Spark has ignited ...
2019-12-25 09:22:04 INFO  spark.embeddedserver.jetty.EmbeddedJettyServer     - >> Listening on 0.0.0.0:4567
2019-12-25 09:22:04 INFO  org.eclipse.jetty.server.Server     - jetty-9.3.6.v20151106
2019-12-25 09:22:04 INFO  org.eclipse.jetty.server.ServerConnector     - Started ServerConnector@2004d1b{HTTP/1.1,[http/1.1]}{0.0.0.0:4567}
2019-12-25 09:22:04 INFO  org.eclipse.jetty.server.Server     - Started @1135ms
2019-12-25 09:22:12 INFO  org.hibernate.hql.internal.QueryTranslatorFactoryInitiator     - HHH000397: Using ASTQueryTranslatorFactory
2019-12-25 09:22:13 ERROR org.simplebank.repository.impl.CustomerRepositoryImpl     - Transfer incomplete. Please check accountNumber, balance and eTag.
2019-12-25 09:22:26 ERROR org.simplebank.repository.impl.CustomerRepositoryImpl     - Transfer incomplete. Please check accountNumber, balance and eTag.
2019-12-25 09:44:11 INFO  org.hibernate.Version     - HHH000412: Hibernate Core {5.2.10.Final}
2019-12-25 09:44:11 INFO  org.hibernate.cfg.Environment     - HHH000206: hibernate.properties not found
2019-12-25 09:44:11 INFO  org.simplebank.util.Configs     - loadConfig(): Loading config file: application.properties
2019-12-25 09:44:11 INFO  org.hibernate.annotations.common.Version     - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2019-12-25 09:44:11 WARN  org.hibernate.orm.connections.pooling     - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-12-25 09:44:11 INFO  org.hibernate.orm.connections.pooling     - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:app;DB_CLOSE_DELAY=-1]
2019-12-25 09:44:11 INFO  org.hibernate.orm.connections.pooling     - HHH10001001: Connection properties: {}
2019-12-25 09:44:11 INFO  org.hibernate.orm.connections.pooling     - HHH10001003: Autocommit mode: false
2019-12-25 09:44:11 INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl     - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-12-25 09:44:11 INFO  org.hibernate.dialect.Dialect     - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-12-25 09:44:12 INFO  org.hibernate.orm.connections.access     - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3e7dfd44] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-12-25 09:44:12 INFO  org.hibernate.orm.connections.access     - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7abe27bf] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-12-25 09:44:12 INFO  org.hibernate.tool.schema.internal.SchemaCreatorImpl     - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@f339eae'
2019-12-25 09:44:12 WARN  org.hibernate.orm.connections.pooling     - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-12-25 09:44:12 INFO  org.hibernate.orm.connections.pooling     - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:app;DB_CLOSE_DELAY=-1]
2019-12-25 09:44:12 INFO  org.hibernate.orm.connections.pooling     - HHH10001001: Connection properties: {}
2019-12-25 09:44:12 INFO  org.hibernate.orm.connections.pooling     - HHH10001003: Autocommit mode: false
2019-12-25 09:44:12 INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl     - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-12-25 09:44:12 INFO  org.hibernate.dialect.Dialect     - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-12-25 09:44:12 INFO  org.hibernate.orm.connections.access     - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@5177e388] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-12-25 09:44:12 INFO  org.hibernate.orm.connections.access     - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@1549bba7] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-12-25 09:44:12 INFO  org.hibernate.tool.schema.internal.SchemaCreatorImpl     - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@f339eae'
2019-12-25 09:44:12 INFO  org.simplebank.repository.impl.HibernateH2SessionFactory     - Populating Test User Table and data ..... 
2019-12-25 09:44:12 INFO  org.eclipse.jetty.util.log     - Logging initialized @1487ms
2019-12-25 09:44:12 INFO  spark.embeddedserver.jetty.EmbeddedJettyServer     - == Spark has ignited ...
2019-12-25 09:44:12 INFO  spark.embeddedserver.jetty.EmbeddedJettyServer     - >> Listening on 0.0.0.0:4567
2019-12-25 09:44:12 INFO  org.eclipse.jetty.server.Server     - jetty-9.3.6.v20151106
2019-12-25 09:44:12 INFO  org.eclipse.jetty.server.ServerConnector     - Started ServerConnector@21ff303d{HTTP/1.1,[http/1.1]}{0.0.0.0:4567}
2019-12-25 09:44:12 INFO  org.eclipse.jetty.server.Server     - Started @1564ms
2019-12-25 09:44:36 INFO  org.hibernate.hql.internal.QueryTranslatorFactoryInitiator     - HHH000397: Using ASTQueryTranslatorFactory
2019-12-25 10:12:48 INFO  org.hibernate.hql.internal.QueryTranslatorFactoryInitiator     - HHH000397: Using ASTQueryTranslatorFactory
